date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:45	35757/35757	---MCZ	200	added ('OK')	text/html	etag:W/%2261f2b35d-8bad%22	https://key.visualarts.gr.jp/primadoll/novel.html	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/novel.html	(from )
22:22:46	70/70	---MCZ	200	added ('OK')	text/plain	date:Fri,%2028%20Jan%202022%2021:22:45%20GMT	https://key.visualarts.gr.jp/robots.txt		(from )
22:22:47	23067/23067	---MCZ	200	added ('OK')	text/css	etag:W/%2261f2be9a-5a1b%22	https://key.visualarts.gr.jp/primadoll/common/css/base.css	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/css/base.css	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:47	48570/48570	---MCZ	200	added ('OK')	text/html	etag:W/%2261f2beb0-bdba%22	https://key.visualarts.gr.jp/primadoll/	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/index.html	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:47	95957/95957	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f2b370-176d5%22	https://key.visualarts.gr.jp/primadoll/common/js/jquery.js	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/js/jquery.js	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:47	16596/16596	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f2b370-40d4%22	https://key.visualarts.gr.jp/primadoll/common/js/snowfall.jquery.js	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/js/snowfall.jquery.js	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:48	42952/42952	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f2b41d-a7c8%22	https://key.visualarts.gr.jp/primadoll/common/js/jplayer/jquery.jplayer.min.js	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/js/jplayer/jquery.jplayer.min.js	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:48	35969/35969	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f2b41d-8c81%22	https://key.visualarts.gr.jp/primadoll/common/js/jplayer/audio_player_66.js	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/js/jplayer/audio_player_66.js	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:48	435/435	---M--	200	added ('OK')	application/javascript	etag:%2261f2b370-1b3%22	https://key.visualarts.gr.jp/primadoll/common/js/pagetop.js	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/js/pagetop.js	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:49	48570/48570	---MCZ	200	added ('OK')	text/html	etag:W/%2261f2beb0-bdba%22	https://key.visualarts.gr.jp/primadoll/index.html	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/index-2.html	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:50	126768/126768	---M--	200	added ('OK')	image/png	etag:%2261f2b36e-1ef30%22	https://key.visualarts.gr.jp/primadoll/common/image/top_logo.png	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/image/top_logo.png	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:50	92517/92517	---M--	200	added ('OK')	image/jpeg	etag:%2261f2b368-16965%22	https://key.visualarts.gr.jp/primadoll/common/image/novel_img_73_icon.jpg	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/image/novel_img_73_icon.jpg	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:51	3251/3251	---M--	200	added ('OK')	image/png	etag:%2261f2b361-cb3%22	https://key.visualarts.gr.jp/primadoll/common/image/koe_karasuba.png	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/image/koe_karasuba.png	(from https://key.visualarts.gr.jp/primadoll/novel.html)
